epoch,learning_rate,loss,val_loss
0,0.05000000074505806,1.3482038974761963,1.8632309436798096
1,0.05000000074505806,1.7177562713623047,1.698675513267517
2,0.05000000074505806,1.6725705862045288,1.1419901847839355
3,0.05000000074505806,1.2005152702331543,3.0484588146209717
4,0.05000000074505806,3.5624847412109375,1.4577614068984985
5,0.05000000074505806,1.3361866474151611,1.8560492992401123
6,0.05000000074505806,2.203791618347168,1.264626145362854
7,0.05000000074505806,1.186941385269165,1.0404776334762573
8,0.05000000074505806,1.0670654773712158,1.2317326068878174
9,0.05000000074505806,1.2392932176589966,1.2978782653808594
10,0.02500000037252903,1.228123426437378,1.1128913164138794
11,0.02500000037252903,1.106411337852478,1.246483325958252
12,0.02500000037252903,1.1503149271011353,1.146456003189087
0,0.009999999776482582,1.3072559833526611,1.3078806400299072
1,0.009999999776482582,1.459302544593811,1.1968164443969727
2,0.009999999776482582,1.2698065042495728,1.1993820667266846
3,0.009999999776482582,1.251264214515686,1.1523244380950928
4,0.009999999776482582,1.2486375570297241,1.2889667749404907
5,0.009999999776482582,1.2771732807159424,1.110672116279602
6,0.009999999776482582,1.1607029438018799,1.262713074684143
7,0.009999999776482582,1.2582249641418457,1.105732798576355
8,0.009999999776482582,1.1151750087738037,1.0999746322631836
9,0.009999999776482582,1.1572935581207275,1.312767744064331
10,0.004999999888241291,1.2478580474853516,1.2333933115005493
11,0.004999999888241291,1.1751257181167603,1.19833505153656
12,0.004999999888241291,1.1545164585113525,1.1660242080688477
13,0.004999999888241291,1.1368571519851685,1.1368213891983032
0,0.009999999776482582,1.2169115543365479,1.3312941789627075
1,0.009999999776482582,1.2302910089492798,1.4327565431594849
2,0.009999999776482582,1.6711143255233765,1.86505126953125
3,0.009999999776482582,1.791347861289978,1.1285861730575562
4,0.009999999776482582,1.2125505208969116,1.431455135345459
5,0.009999999776482582,1.339205026626587,1.142062783241272
6,0.009999999776482582,1.1415852308273315,1.1457123756408691
7,0.009999999776482582,1.1369134187698364,1.0944623947143555
8,0.009999999776482582,1.1159961223602295,1.1746999025344849
9,0.009999999776482582,1.1620702743530273,1.1127703189849854
10,0.004999999888241291,1.1041591167449951,1.1089515686035156
11,0.004999999888241291,1.0918285846710205,1.0993704795837402
12,0.004999999888241291,1.0848878622055054,1.0952280759811401
0,0.10000000149011612,1.1894527673721313,2.3564822673797607
1,0.10000000149011612,1.983414888381958,1.4626591205596924
2,0.10000000149011612,1.55613374710083,7.340090274810791
3,0.10000000149011612,17.985132217407227,1.8187377452850342
4,0.10000000149011612,1.9588721990585327,2.3974123001098633
5,0.10000000149011612,3.480393886566162,5.497671127319336
6,0.10000000149011612,6.859196662902832,1.9187272787094116
0,0.05000000074505806,1.327397108078003,2.0406177043914795
1,0.05000000074505806,2.5529720783233643,3.7250630855560303
2,0.05000000074505806,4.464301109313965,2.651047945022583
3,0.05000000074505806,3.0638179779052734,1.3342249393463135
4,0.05000000074505806,1.5899595022201538,1.2170007228851318
5,0.05000000074505806,1.166975736618042,1.1146599054336548
6,0.05000000074505806,1.1126044988632202,1.0718469619750977
7,0.05000000074505806,1.0882904529571533,1.0669779777526855
8,0.05000000074505806,1.078624963760376,1.1139768362045288
9,0.05000000074505806,1.1008611917495728,1.0840954780578613
10,0.02500000037252903,1.0783412456512451,1.058069109916687
11,0.02500000037252903,1.0659462213516235,1.0643829107284546
12,0.02500000037252903,1.070318579673767,1.078249454498291
13,0.02500000037252903,1.0736192464828491,1.061872959136963
14,0.02500000037252903,1.0638519525527954,1.0633952617645264
15,0.02500000037252903,1.067487359046936,1.0812461376190186
0,0.05000000074505806,1.227428913116455,1.8149352073669434
1,0.05000000074505806,3.2705447673797607,1.6269522905349731
2,0.05000000074505806,1.0304248332977295,3.8482465744018555
3,0.05000000074505806,4.536999225616455,1.6306474208831787
4,0.05000000074505806,1.662014365196228,2.7655820846557617
5,0.05000000074505806,2.5648248195648193,1.5924067497253418
6,0.05000000074505806,1.256773829460144,2.043987989425659
7,0.05000000074505806,1.2357041835784912,1.537943720817566
8,0.05000000074505806,1.0657235383987427,1.6685700416564941
9,0.05000000074505806,0.8740485906600952,1.722092628479004
10,0.02500000037252903,0.7978499531745911,1.6678123474121094
11,0.02500000037252903,0.8982445597648621,1.7082595825195312
12,0.02500000037252903,0.8149290084838867,1.7379651069641113
0,0.10000000149011612,1.8096466064453125,1.7289299964904785
1,0.10000000149011612,1.1961256265640259,1.7561018466949463
2,0.10000000149011612,1.2939465045928955,5.689141273498535
3,0.10000000149011612,7.308203220367432,4.296161651611328
4,0.10000000149011612,6.447939872741699,3.2269182205200195
5,0.10000000149011612,3.293732166290283,1.7628215551376343
0,0.009999999776482582,2.156430721282959,1.897172212600708
1,0.009999999776482582,1.3109796047210693,1.7901161909103394
2,0.009999999776482582,1.883805513381958,1.906683325767517
3,0.009999999776482582,1.1174678802490234,1.713139533996582
4,0.009999999776482582,0.9069919586181641,1.6551752090454102
5,0.009999999776482582,1.2389888763427734,1.7041875123977661
6,0.009999999776482582,0.8945455551147461,1.6608784198760986
